period_start_date,GDPC1,realtime_start_date
1991-10-01,4866.300,1992-01-29
1992-01-01,4891.900,1992-04-28
1992-04-01,4890.500,1992-07-30
1992-07-01,4924.500,1992-10-27
1992-10-01,4979.800,1993-01-28
1993-01-01,5013.100,1993-04-29
1993-04-01,5019.500,1993-07-29
1993-07-01,5138.000,1993-10-28
1993-10-01,5212.100,1994-01-28
1994-01-01,5259.000,1994-04-28
1994-04-01,5309.200,1994-07-29
1994-07-01,5359.200,1994-10-28
1994-10-01,5426.800,1995-01-27
1995-01-01,5471.700,1995-04-28
1995-04-01,5477.300,1995-07-28
1995-07-01,5544.600,1995-10-27
1995-10-01,6783.800,1996-02-23
1996-01-01,6823.600,1996-05-02
1996-04-01,6885.100,1996-08-01
1996-07-01,6929.700,1996-10-30
1996-10-01,7008.700,1997-01-31
1997-01-01,7089.400,1997-04-30
1997-04-01,7139.700,1997-07-31
1997-07-01,7221.800,1997-10-31
1997-10-01,7290.300,1998-01-30
1998-01-01,7356.000,1998-04-30
1998-04-01,7491.000,1998-07-31
1998-07-01,7559.500,1998-10-30
1998-10-01,7670.000,1999-01-29
1999-01-01,7762.500,1999-04-30
1999-04-01,7803.600,1999-07-29
1999-07-01,8882.600,1999-10-28
1999-10-01,9026.900,2000-01-28
2000-01-01,9156.600,2000-04-27
2000-04-01,9308.800,2000-07-28
2000-07-01,9382.200,2000-10-27
2000-10-01,9401.500,2001-01-31
2001-01-01,9439.900,2001-04-27
2001-04-01,9351.600,2001-07-27
2001-07-01,9333.400,2001-10-31
2001-10-01,9315.600,2002-01-30
2002-01-01,9482.100,2002-04-26
2002-04-01,9387.900,2002-07-31
2002-07-01,9465.200,2002-10-31
2002-10-01,9503.200,2003-01-30
2003-01-01,9556.000,2003-04-25
2003-04-01,9608.100,2003-07-31
2003-07-01,9797.200,2003-10-30
2003-10-01,10597.100,2004-01-30
2004-01-01,10708.600,2004-04-29
2004-04-01,10778.000,2004-07-30
2004-07-01,10883.400,2004-10-29
2004-10-01,10975.700,2005-01-28
2005-01-01,11078.200,2005-04-28
2005-04-01,11092.000,2005-07-29
2005-07-01,11193.200,2005-10-28
2005-10-01,11233.500,2006-01-27
2006-01-01,11381.400,2006-04-28
2006-04-01,11385.300,2006-07-28
2006-07-01,11432.900,2006-10-27
2006-10-01,11541.600,2007-01-31
2007-01-01,11549.100,2007-04-27
2007-04-01,11507.900,2007-07-27
2007-07-01,11630.700,2007-10-31
2007-10-01,11677.400,2008-01-30
2008-01-01,11693.100,2008-04-30
2008-04-01,11700.600,2008-07-31
2008-07-01,11720.000,2008-10-30
2008-10-01,11599.400,2009-01-30
2009-01-01,11340.900,2009-04-29
2009-04-01,12892.400,2009-07-31
2009-07-01,13014.000,2009-10-29
2009-10-01,13155.000,2010-01-29
2010-01-01,13254.700,2010-04-30
2010-04-01,13216.500,2010-07-30
2010-07-01,13260.700,2010-10-29
2010-10-01,13382.600,2011-01-28
2011-01-01,13438.800,2011-04-28
2011-04-01,13270.100,2011-07-29
2011-07-01,13352.800,2011-10-27
2011-10-01,13422.400,2012-01-27
2012-01-01,13502.400,2012-04-27
2012-04-01,13558.000,2012-07-27
2012-07-01,13616.200,2012-10-26
2012-10-01,13647.600,2013-01-30
2013-01-01,13750.100,2013-04-26
2013-04-01,15648.700,2013-07-31
2013-07-01,15790.100,2013-11-07
2013-10-01,15965.600,2014-01-30
2014-01-01,15946.600,2014-04-30
2014-04-01,15985.700,2014-07-30
2014-07-01,16150.600,2014-10-30
2014-10-01,16311.600,2015-01-30
2015-01-01,16304.800,2015-04-29
2015-04-01,16270.400,2015-07-30
2015-07-01,16394.200,2015-10-29
2015-10-01,16442.300,2016-01-29
2016-01-01,16492.700,2016-04-28
2016-04-01,16575.100,2016-07-29
2016-07-01,16702.100,2016-10-28
2016-10-01,16804.800,2017-01-27
2017-01-01,16842.400,2017-04-28
2017-04-01,17010.700,2017-07-28
2017-07-01,17156.946,2017-10-27
2017-10-01,17272.468,2018-01-26
2018-01-01,17385.831,2018-04-27
2018-04-01,18507.200,2018-07-27
2018-07-01,18671.497,2018-10-26
2018-10-01,18784.632,2019-02-28
2019-01-01,18912.326,2019-04-26
2019-04-01,19023.820,2019-07-26
2019-07-01,19112.542,2019-10-30
2019-10-01,19219.767,2020-01-30
2020-01-01,18987.877,2020-04-29
2020-04-01,17205.822,2020-07-30
2020-07-01,18583.984,2020-10-29
2020-10-01,18780.325,2021-01-28
2021-01-01,19087.568,2021-04-29
2021-04-01,19358.176,2021-07-29
2021-07-01,19465.195,2021-10-28
2021-10-01,19805.962,2022-01-27
2022-01-01,19735.895,2022-04-28
2022-04-01,19681.682,2022-07-28
2022-07-01,20021.721,2022-10-27
2022-10-01,20198.091,2023-01-26
2023-01-01,20235.878,2023-04-27
2023-04-01,20404.088,2023-07-27
2023-07-01,22491.567,2023-10-26
2023-10-01,22672.859,2024-01-25
2024-01-01,22768.866,2024-04-25
2024-04-01,22918.739,2024-07-25
2024-07-01,23386.248,2024-10-30
2024-10-01,23530.909,2025-01-30
2025-01-01,23526.085,2025-04-30
2025-04-01,23685.287,2025-07-30
2025-07-01,24024.957,2025-12-23
2025-10-01,24111.830,2026-02-20
