n_states,state,variable,mean,std,count
2,state_0,growth_pc1,-0.03026970666379958,1.3002058501158706,335
2,state_0,inflation_pc1,0.16626180291869688,1.1407905485475396,335
2,state_0,gs10,7.751373134328358,2.8625479460766114,335
2,state_0,term_spread_10y_1y,0.4563880597014925,1.0146415100265607,335
2,state_1,growth_pc1,-0.03323685548988521,1.6992165928485363,260
2,state_1,inflation_pc1,-0.216403445079284,1.3287578491381984,260
2,state_1,gs10,3.3684230769230767,1.7027881445154793,260
2,state_1,term_spread_10y_1y,1.8818846153846154,0.8958492369594647,260
3,state_0,growth_pc1,0.13580194524471043,1.0751226165297216,224
3,state_0,inflation_pc1,-0.004317367967315913,1.0727009928302234,224
3,state_0,gs10,4.076428571428571,1.7118847857080672,224
3,state_0,term_spread_10y_1y,0.3862946428571429,0.657130685562919,224
3,state_1,growth_pc1,-0.24295744881905346,1.7700771052841484,188
3,state_1,inflation_pc1,-0.41082142168834407,1.3859098414726099,188
3,state_1,gs10,4.086968085106383,1.8869920208301154,188
3,state_1,term_spread_10y_1y,2.3346808510638297,0.5747665457307432,188
3,state_2,growth_pc1,-0.01926540719440495,1.5795576436533005,183
3,state_2,inflation_pc1,0.4242312893947381,1.131330106684917,183
3,state_2,gs10,9.787049180327868,2.16764825032302,183
3,state_2,term_spread_10y_1y,0.6378688524590164,1.1757173841196717,183
4,state_0,growth_pc1,-0.05722203853953507,1.6695037549558558,199
4,state_0,inflation_pc1,0.01766338034960621,1.1345014714672788,199
4,state_0,gs10,3.82035175879397,1.6203130938511465,199
4,state_0,term_spread_10y_1y,0.3039195979899497,0.6443097579657929,199
4,state_1,growth_pc1,-0.14706766671733237,1.207253166090177,174
4,state_1,inflation_pc1,-0.3237076398247828,1.1233285553546093,174
4,state_1,gs10,3.7280459770114938,1.547816914297694,174
4,state_1,term_spread_10y_1y,2.3758045977011495,0.5593670936087187,174
4,state_2,growth_pc1,0.45241356056812704,1.2656969070053554,162
4,state_2,inflation_pc1,-0.19256238036303527,1.1143935148400401,162
4,state_2,gs10,8.688395061728395,1.826654245103761,162
4,state_2,term_spread_10y_1y,1.26,0.6326362078071184,162
4,state_3,growth_pc1,-0.9182661882266049,1.6618997332395857,60
4,state_3,inflation_pc1,1.3906338419316986,1.3017061561244956,60
4,state_3,gs10,10.934166666666666,2.5016742134131884,60
4,state_3,term_spread_10y_1y,-0.5968333333333334,1.0286860001991132,60
